user_id,paper_id,action,comment
140008e9-6843-4bc4-b5ca-eb8c458292bb,53e997d6b7602d9701fc9620,CLICKED,
140008e9-6843-4bc4-b5ca-eb8c458292bb,53e997d6b7602d9701fc9620,CLICKED,
140008e9-6843-4bc4-b5ca-eb8c458292aa,53e997d6b7602d9701fc9620,CLICKED,
140008e9-6843-4bc4-b5ca-eb8c458292aa,53e997d6b7602d9701fc9620,COMMENT,"Nice"
140008e9-6843-4bc4-b5ca-eb8c458292bb,53e997d6b7602d9701fc9620,CLICKED,
76bfaee5-db60-407d-8fb7-a87674a51c6f,53e997fcb7602d97020048cd,CLICKED,
76bfaee5-db60-407d-8fb7-a87674a51c6f,53e997fcb7602d97020048cd,CLICKED,
76bfaee5-db60-407d-8fb7-a87674a51c6f,53e997fcb7602d97020048cd,CLICKED,
76bfaee5-db60-407d-8fb7-a87674a51c6f,53e997fcb7602d97020048cd,CLICKED,
76bfaee5-db60-407d-8fb7-a87674a51c6f,53e997fcb7602d97020048cd,CLICKED,
76bfaee5-db60-407d-8fb7-a87674a51c6f,53e997fcb7602d97020048cd,CLICKED,
76bfaee5-db60-407d-8fb7-a87674a51c6f,53e997f8b7602d9701ffcd8c,CLICKED,
76bfaee5-db60-407d-8fb7-a87674a51c6f,53e997f8b7602d9701ffcd8c,CLICKED,
76bfaee5-db60-407d-8fb7-a87674a51c6f,undefined,CLICKED,
76bfaee5-db60-407d-8fb7-a87674a51c6f,undefined,CLICKED,
76bfaee5-db60-407d-8fb7-a87674a51c6f,undefined,CLICKED,
76bfaee5-db60-407d-8fb7-a87674a51c6f,undefined,CLICKED,
76bfaee5-db60-407d-8fb7-a87674a51c6f,53e997f8b7602d9701ffcd8c,CLICKED,
76bfaee5-db60-407d-8fb7-a87674a51c6f,53e997f8b7602d9701ffcd8c,CLICKED,
76bfaee5-db60-407d-8fb7-a87674a51c6f,53e99893b7602d97020cb364,CLICKED,
76bfaee5-db60-407d-8fb7-a87674a51c6f,53e99893b7602d97020cb364,CLICKED,
140008e9-6843-4bc4-b5ca-eb8c458292bb,53e997d6b7602d9701fc9620,CLICKED,
140008e9-6843-4bc4-b5ca-eb8c458292bb,53e99893b7602d97020cb364,CLICKED,
76bfaee5-db60-407d-8fb7-a87674a51c6f,53e997d7b7602d9701fcb73c,CLICKED,
140008e9-6843-4bc4-b5ca-eb8c458292bb,53e997d7b7602d9701fcb73c,CLICKED,
140008e9-6843-4bc4-b5ca-eb8c458292bb,53e997d7b7602d9701fcb73c,CLICKED,
88cd3f61-613c-4833-8836-fbb475c5a751,53e997f8b7602d9701ffcd8c,CLICKED,
88cd3f61-613c-4833-8836-fbb475c5a751,53e997f8b7602d9701ffcd8c,CLICKED,
88cd3f61-613c-4833-8836-fbb475c5a751,53e997f8b7602d9701ffcd8c,CLICKED,
88cd3f61-613c-4833-8836-fbb475c5a751,53e997f8b7602d9701ffcd8c,CLICKED,
e6ac8057-5f7b-4cdb-b2c5-7262f711d94e,53e997d7b7602d9701fcbff9,CLICKED,
e6ac8057-5f7b-4cdb-b2c5-7262f711d94e,53e997d7b7602d9701fcbff9,CLICKED,
